# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
IndexesFlusher.totalFlushingTimeUs,1774282198792000000,1774282258877000000,686372
Indexes.allKeys.lookupDuration90PMs,1774282198792000000,1774282258877000000,0.0
Indexes.entries.lookupDuration90PMs,1774282198792000000,1774282258877000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1774282198792000000,1774282258877000000,116
Indexing.cache.totalCacheAccesses,1774282198792000000,1774282258877000000,253702
Indexes.allKeys.lookupDurationAvgMs,1774282198792000000,1774282258877000000,0.0
Indexing.cache.totalCacheMisses,1774282198792000000,1774282258877000000,34293
Indexing.writesQueuedMax,1774282198792000000,1774282258877000000,0
Indexing.totalTimeIndexersSleptMs,1774282198792000000,1774282258877000000,0
Indexes.stubs.lookupDurationMaxMs,1774282198792000000,1774282258877000000,0.0
IndexesFlusher.totalFlushes,1774282198792000000,1774282258877000000,163
Indexing.cache.totalCacheEvicted,1774282198792000000,1774282258877000000,34293
Indexes.allKeys.lookupDurationMaxMs,1774282198792000000,1774282258877000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1774282198792000000,1774282258877000000,0
Indexing.writesQueuedMin,1774282198792000000,1774282258877000000,9223372036854775807
Indexing.writer_2.totalTimeSpentWritingMs,1774282198792000000,1774282258877000000,111
Indexes.stubs.lookupDuration90PMs,1774282198792000000,1774282258877000000,0.0
Indexes.stubs.lookups,1774282198792000000,1774282258877000000,158
Indexing.writer_1.totalTimeSpentWritingMs,1774282198792000000,1774282258877000000,2
Indexes.entries.lookupDurationMaxMs,1774282198792000000,1774282258877000000,0.0
Indexes.stubs.lookupDurationAvgMs,1774282198792000000,1774282258877000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1774282198792000000,1774282258877000000,9
Indexes.entries.lookupDurationAvgMs,1774282198792000000,1774282258877000000,0.0
Indexes.entries.lookups,1774282198792000000,1774282258877000000,82
FilePageCacheLockFree.totalNativeBytesAllocated,1774282198792000000,1774282258877000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1774282198792000000,1774282258877000000,305160192
FilePageCache.capacityInBytes,1774282198792000000,1774282258877000000,503316478
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1774282198792000000,1774282258877000000,13631488
FilePageCacheLockFree.housekeeperTurnsDone,1774282198792000000,1774282258877000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1774282198792000000,1774282258877000000,8209938
FileChannelInterruptsRetryer.totalRetriedAttempts,1774282198792000000,1774282258877000000,0
FilePageCache.uncachedFileAccess,1774282198792000000,1774282258877000000,169
StorageLockContext.competingThreads.max,1774282198792000000,1774282258877000000,0
DirectByteBufferAllocator.reclaimed,1774282198792000000,1774282258877000000,16
FilePageCache.pageLoadsAboveSizeThreshold,1774282198792000000,1774282258877000000,0
MappedFileStorage.storages,1774282198792000000,1774282258877000000,16
FilePageCacheLockFree.totalPagesAllocated,1774282198792000000,1774282258877000000,0
FilePageCacheLockFree.totalBytesWritten,1774282198792000000,1774282258877000000,0
FilePageCacheLockFree.totalPagesReclaimed,1774282198792000000,1774282258877000000,0
FilePageCache.disposedBuffers,1774282198792000000,1774282258877000000,16
FilePageCache.totalPageLoadsUs,1774282198792000000,1774282258877000000,290187
StreamlinedBlobStorage.recordsRelocated,1774282198792000000,1774282258877000000,0
StreamlinedBlobStorage.recordsAllocated,1774282198792000000,1774282258877000000,549598
FilePageCacheLockFree.housekeeperTurnsSkipped,1774282198792000000,1774282258877000000,0
FilePageCacheLockFree.totalPagesWriteMs,1774282198792000000,1774282258877000000,0
FilePageCacheLockFree.totalPagesRequested,1774282198792000000,1774282258877000000,0
FilePageCache.maxRegisteredFiles,1774282198792000000,1774282258877000000,547
FilePageCache.maxCacheSizeInBytes,1774282198792000000,1774282258877000000,305160192
FilePageCacheLockFree.totalPagesReadMs,1774282198792000000,1774282258877000000,0
FilePageCacheLockFree.totalBytesRequested,1774282198792000000,1774282258877000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1774282198792000000,1774282258877000000,0
DirectByteBufferAllocator.hits,1774282198792000000,1774282258877000000,3
FilePageCache.totalPageDisposalsUs,1774282198792000000,1774282258877000000,2113
StorageLockContext.competingThreads.avg,1774282198792000000,1774282258877000000,0.0
FilePageCacheLockFree.totalPagesWritten,1774282198792000000,1774282258877000000,0
MappedFileStorage.totalBytesMapped,1774282198792000000,1774282258877000000,252968960
FilePageCacheLockFree.heapBytesInUse,1774282198792000000,1774282258877000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1774282198792000000,1774282258877000000,12833
FilePageCacheLockFree.nativeBytesInUse,1774282198792000000,1774282258877000000,0
DirectByteBufferAllocator.disposed,1774282198792000000,1774282258877000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1774282198792000000,1774282258877000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1774282198792000000,1774282258877000000,40352354
MappedFileStorage.totalPagesMapped,1774282198792000000,1774282258877000000,21
FilePageCacheLockFree.totalPagesHandedOver,1774282198792000000,1774282258877000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1774282198792000000,1774282258877000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1774282198792000000,1774282258877000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1774282198792000000,1774282258877000000,0
